measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,1,Global,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,1990,12068420.501912128,12551668.939562203,11434791.39783723
1,Deaths,1,Global,3,Both,22,All ages,508,Chronic respiratory diseases,1,Number,1990,3093755.112156317,3339171.1879481077,2583800.0942935846
1,Deaths,1,Global,3,Both,22,All ages,542,Neurological disorders,1,Number,1990,873338.8838236403,1848823.3813425875,450771.21802389843
1,Deaths,1,Global,3,Both,22,All ages,542,Neurological disorders,1,Number,1991,901709.2859804896,1912278.9154332692,462726.83529413096
1,Deaths,1,Global,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,1991,12226555.179372603,12762635.494929936,11595302.2369669
1,Deaths,1,Global,3,Both,22,All ages,542,Neurological disorders,1,Number,1992,930900.3042789319,1981367.3311316767,472262.6279079032
1,Deaths,1,Global,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,1992,12444358.041096302,12968047.611197717,11817483.774171786
1,Deaths,1,Global,3,Both,22,All ages,508,Chronic respiratory diseases,1,Number,1992,3208851.078846033,3442856.0723617547,2692086.1357207317
1,Deaths,1,Global,3,Both,22,All ages,508,Chronic respiratory diseases,1,Number,1991,3149298.535996409,3394811.573318632,2648925.869511584
1,Deaths,1,Global,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,1993,12808625.798873538,13312966.912337258,12172263.017169349
1,Deaths,1,Global,3,Both,22,All ages,508,Chronic respiratory diseases,1,Number,1993,3267664.937192864,3495079.43308611,2750084.8818094376
1,Deaths,1,Global,3,Both,22,All ages,542,Neurological disorders,1,Number,1993,962377.6565056082,2059344.0123243823,487919.3363128554
1,Deaths,1,Global,3,Both,22,All ages,542,Neurological disorders,1,Number,1996,1048062.4650786471,2227884.599545529,524487.942882042
1,Deaths,1,Global,3,Both,22,All ages,542,Neurological disorders,1,Number,1994,991443.20678838,2103969.418302594,501423.68822131056
1,Deaths,1,Global,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,1994,13032853.710846696,13568625.568781078,12346662.160301147
1,Deaths,1,Global,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,1998,13468412.340850797,13999802.748349128,12781470.864322662
